,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,,,,,,,,,,,,,,,,
Luka,Luka Doncic,Doncic,58.46666463216150,6,12500,DAL@ORL,DAL,ORL,,,,,,PG,,,,,,,,,,,,,,,,
Joel,Joel Embiid,Embiid,56.5,5,12000,WAS@PHI,PHI,WAS,,,,,,C,,,,,,,,,,,,,,,,
Nikola,Nikola Jokic,Jokic,55.471426827567000,7,11800,NO@DEN,DEN,NO,,,,,,C,,,,,,,,,,,,,,,,
Anthony,Anthony Davis,Davis,59.68333435058590,6,11600,LAL@MIA,LAL,MIA,,,,,,PF/C,,,,,,,,,,,,,,,,
Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,49.86000061035160,5,11000,ATL@OKC,OKC,ATL,O,Knee,,,,PG,,,,,,,,,,,,,,,,
Jayson,Jayson Tatum,Tatum,46.620001220703100,5,10400,BOS@MIN,BOS,MIN,,,,,,SF/PF,,,,,,,,,,,,,,,,
Giannis,Giannis Antetokounmpo,Antetokounmpo,40.47999877929690,5,10300,MIL@BKN,MIL,BKN,,,,,,PF,,,,,,,,,,,,,,,,
LeBron,LeBron James,James,48.333333333333300,6,10200,LAL@MIA,LAL,MIA,,,,,,SF/PF,,,,,,,,,,,,,,,,
Domantas,Domantas Sabonis,Sabonis,46.33999938964840,5,9900,SAC@HOU,SAC,HOU,,,,,,PF/C,,,,,,,,,,,,,,,,
Tyrese,Tyrese Haliburton,Haliburton,49.4,5,9800,SA@IND,IND,SA,,,,,,PG,,,,,,,,,,,,,,,,
Stephen,Stephen Curry,Curry,43.17143031529020,7,9700,GS@DET,GS,DET,,,,,,PG,,,,,,,,,,,,,,,,
De'Aaron,De'Aaron Fox,Fox,48.866668701171900,3,9100,SAC@HOU,SAC,HOU,O,Ankle,,,,PG,,,,,,,,,,,,,,,,
James,James Harden,Harden,45.75217249773550,69,8900,LAC@NY,LAC,NY,,,,,,PG/SG,,,,,,,,,,,,,,,,
Trae,Trae Young,Young,41.03333282470700,6,8800,ATL@OKC,ATL,OKC,,,,,,PG,,,,,,,,,,,,,,,,
Anthony,Anthony Edwards,Edwards,38.83999938964840,5,8800,BOS@MIN,MIN,BOS,,,,,,SG/SF,,,,,,,,,,,,,,,,
Kyrie,Kyrie Irving,Irving,39.525001525878900,4,8700,DAL@ORL,DAL,ORL,,,,,,PG/SG,,,,,,,,,,,,,,,,
Damian,Damian Lillard,Lillard,35.220001220703100,5,8700,MIL@BKN,MIL,BKN,,,,,,PG,,,,,,,,,,,,,,,,
Tyrese,Tyrese Maxey,Maxey,44.539999389648400,5,8600,WAS@PHI,PHI,WAS,,,,,,PG,,,,,,,,,,,,,,,,
Paul,Paul George,George,45.16000061035160,5,8500,LAC@NY,LAC,NY,,,,,,SG/SF,,,,,,,,,,,,,,,,
Victor,Victor Wembanyama,Wembanyama,41.46666717529300,6,8500,SA@IND,SA,IND,,,,,,PF/C,,,,,,,,,,,,,,,,
Jimmy,Jimmy Butler,Butler,35.039999389648400,5,8400,LAL@MIA,MIA,LAL,GTD,Knee,,,,SF/PF,,,,,,,,,,,,,,,,
Bam,Bam Adebayo,Adebayo,35.939999389648400,5,8400,LAL@MIA,MIA,LAL,,,,,,C,,,,,,,,,,,,,,,,
Dejounte,Dejounte Murray,Murray,38.550000508626300,6,8300,ATL@OKC,ATL,OKC,,,,,,PG/SG,,,,,,,,,,,,,,,,
Kristaps,Kristaps Porzingis,Porzingis,35.939999389648400,5,8300,BOS@MIN,BOS,MIN,,,,,,PF/C,,,,,,,,,,,,,,,,
Lauri,Lauri Markkanen,Markkanen,39.57142857142860,7,8300,UTA@CHI,UTA,CHI,,,,,,SF/PF,,,,,,,,,,,,,,,,
Karl-Anthony,Karl-Anthony Towns,Towns,37.7,5,8200,BOS@MIN,MIN,BOS,,,,,,PF/C,,,,,,,,,,,,,,,,
Kawhi,Kawhi Leonard,Leonard,41.13999938964840,5,8200,LAC@NY,LAC,NY,,,,,,SF/PF,,,,,,,,,,,,,,,,
Jalen,Jalen Brunson,Brunson,36.46666717529300,6,8200,LAC@NY,NY,LAC,,,,,,PG,,,,,,,,,,,,,,,,
Alperen,Alperen Sengun,Sengun,39.320001220703100,5,8100,SAC@HOU,HOU,SAC,,,,,,C,,,,,,,,,,,,,,,,
Brandon,Brandon Ingram,Ingram,35.06666564941410,3,8100,NO@DEN,NO,DEN,,,,,,SF,,,,,,,,,,,,,,,,
